referencia;categoria;descripcion;costo;precio1;preci2;precio3;cantidadBodega1;cantidadBodega2;cantidadBodega3;TotalBodegas;cantidadTransito;formato;presentacion;cajaEnPallet;pesoUndEmpaque;UndEmpaque;fichasUndEmpaque;codigoContable;cuentaContable;;
1006B;GRIFERIA;GRIFERIA CASCADA ALTA NEGRA;152320;238000;214200;190400;96;123;76;295;1400;1 PC;1;-;0;PC;0;188;143501;;
1260607C;PISOS;PORCELANATO GRIS PERLADO;343230;673000;538400;403800;113;10;1;124;1300;60X120;2.16;40;43;CAJA;3;293;143501;;
154GHG;BAÑOS;LAVAMANOS POCETA LUXURY DORADO REDONDA ;648210;1271000;1016800;762600;128;67;53;248;700;36x36;1;10;7.9;PC;0;96;143501;;
174AG;BAÑOS;LAVAMANOS POCETA LUXURY BLANCA DORADA REDONDA ;161670;317000;253600;190200;19;2;107;128;1700;36x36;1;10;7.9;PC;0;89;143501;;
174P;BAÑOS;LAVAMANOS POCETA LUXURY BLANCA LINEA DORADA REDONDA ;88230;173000;138400;103800;15;115;12;142;1200;36x36;1;10;7.9;PC;0;90;143501;;
1907B;GRIFERIA;GRIFERIA MONOCONTROL COCINA NEGRA;30720;48000;43200;38400;70;135;3;208;1300;1 PC;1;-;0;PC;0;189;143501;;
22123-G;PISOS;PORCELANATO MOMPOX;235620;462000;369600;277200;86;24;26;136;1600;60X60;1.44;40;27;CAJA;4;342;143501;;
2503073A;PARED;PARED TOULOUSE GRIS OSCURA;741540;1454000;1163200;872400;11;133;71;215;1500;40X80;1.92;48;28;CAJA;6;220;143501;;
2503073B;PARED;PARED TOULOUSE CLARA;202980;398000;318400;238800;92;21;111;224;1200;40X80;1.92;48;28;CAJA;6;219;143501;;
36113A;PARED;PARED NUBE GRIS CLARA;293760;576000;460800;345600;94;46;46;186;1600;30X60;1.8;60;24.5;CAJA;10;248;143501;;
36113B;PARED;PARED NUBE GRIS OSCURA;239190;469000;375200;281400;86;77;69;232;700;30X60;1.8;60;24.5;CAJA;10;249;143501;;
3615B;PARED;PARED JAZPED BEIGE;335580;658000;526400;394800;115;149;140;404;1200;30X60;1.8;60;24.5;CAJA;10;244;143501;;
3615G;PARED;PARED JAZPED GRIS;427380;838000;670400;502800;75;144;85;304;1500;30X60;1.8;60;24.5;CAJA;10;245;143501;;
41492B;PARED;PARED JAZMIN BEIGE;351390;689000;551200;413400;112;68;70;250;1300;30X60;1.8;60;24.5;CAJA;10;241;143501;;
41492G;PARED;PARED JAZMIN GRIS;583950;1145000;916000;687000;48;47;12;107;1700;30X60;1.8;60;24.5;CAJA;10;243;143501;;
5005A;PARED;PARED TARQUINA CLARA;39780;78000;62400;46800;90;10;109;209;1800;30X60;1.8;60;24.5;CAJA;10;252;143501;;
5005B;PARED;PARED TARQUINA OSCURA;596190;1169000;935200;701400;58;30;14;102;1500;30X60;1.8;60;24.5;CAJA;10;253;143501;;
612001G;PISOS;PORCELANATO TUNEZ;412080;808000;646400;484800;86;106;131;323;800;60X120;1.44;60;32;CAJA;2;279;143501;;
612002G;PISOS;PORCELANATO LIBERIA;87210;171000;136800;102600;33;130;98;261;1600;60X120;1.44;60;32;CAJA;2;264;143501;;
612003G;PISOS;PORCELANATO ZAMBIA;351390;689000;551200;413400;60;46;112;218;600;60X120;1.44;60;32;CAJA;2;280;143501;;
612008G;PISOS;PORCELANATO MARRUECOS;464100;910000;728000;546000;106;37;2;145;1500;60X120;1.44;60;32;CAJA;2;266;143501;;
AC-304;ACCESORIOS;REJILLA DORADA 20 X10;185600;290000;261000;232000;125;116;49;290;900;20*10;1;1;0.5;PC;1;49;143501;;
AM0080;FACHADA;FACHADA AMAZONAS (AMAZONE 08);488580;958000;766400;574800;100;128;149;377;900;31X56;1.39;60;21;CAJA;8;180;143501;;
BCL-A-1.2;ACCESORIOS;BARANDA DE CAMA LATERAL OSO GRIS ;132480;207000;186300;165600;87;65;65;217;1800;1.2 MT;1;0;0;CAJA;0;10;143501;;
BCL-A-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL OSO GRIS;144640;226000;203400;180800;3;137;18;158;1900;1.8 MT;1;0;0;CAJA;0;9;143501;;
BCL-B-1.2;ACCESORIOS;BARANDA DE CAMA LATERAL CONEJO ROSA;165120;258000;232200;206400;68;4;66;138;1300;1.2 MT;1;0;0;CAJA;0;3;143501;;
BCL-B-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL CONEJO ROSA;168320;263000;236700;210400;85;120;53;258;900;1.8 MT;1;0;0;CAJA;0;4;143501;;
BCL-C-1.2;ACCESORIOS;BARANDA DE CAMA LATERAL CONEJO AZUL;156160;244000;219600;195200;145;96;60;301;900;1.2 MT;1;0;0;CAJA;0;1;143501;;
BCL-C-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL CONEJO AZUL;147840;231000;207900;184800;94;79;63;236;1200;1.8 MT;1;0;0;CAJA;0;2;143501;;
BCL-D-1.2;ACCESORIOS;BARANDA DE CAMA LATERAL CONSTRUCTORES AZUL;151680;237000;213300;189600;38;23;18;79;900;1.2 MT;1;0;0;CAJA;0;5;143501;;
BCL-D-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL CONSTRUCTORES AZUL;84480;132000;118800;105600;15;117;135;267;1700;1.8 MT;1;0;0;CAJA;0;6;143501;;
BCL-E-1.2;ACCESORIOS;BARANDA DE CAMA LATERAL GRIS PLANO;67840;106000;95400;84800;137;89;145;371;600;1.2 MT;1;0;0;CAJA;0;7;143501;;
BCL-E-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL GRIS PLANO;164480;257000;231300;205600;77;29;126;232;900;1.8 MT;1;0;0;CAJA;0;8;143501;;
BCL-F-1.8;ACCESORIOS;BARANDA DE CAMA LATERAL ROSA PLANO;64000;100000;90000;80000;63;141;125;329;1900;1.8 MT;1;0;0;CAJA;0;11;143501;;
BHCOM002;PARED;PARED GUADALUPE;695130;1363000;1090400;817800;99;1;141;241;1300;30X60;1.62;60;24.5;CAJA;9;229;143501;;
BLJ-8758;ACCESORIOS;REJILLA CELDAS ANTIOLOR PLATA AC304;154240;241000;216900;192800;23;148;64;235;1700;10*10;1;1;0.5;PC;1;36;143501;;
BLJ-8780;ACCESORIOS;REJILLA CELDAS ANTIOLOR PLATA AC304;114560;179000;161100;143200;61;97;80;238;1700;20*8;1;1;0.5;PC;1;37;143501;;
BLJ-8781;ACCESORIOS;REJILLA CELDAS ANTIOLOR NEGRA AC304;164480;257000;231300;205600;19;53;119;191;800;20*8;1;1;0.5;PC;1;35;143501;;
BLJ-8782;ACCESORIOS;REJILLA CELDAS ANTIOLOR DORADA AC304;57600;90000;81000;72000;22;59;124;205;1800;20*8;1;1;0.5;PC;1;34;143501;;
BLJ-8804;ACCESORIOS;REJILLA CELDAS RAYO ANTIOLOR DORADA AC304;26880;42000;37800;33600;52;25;15;92;2000;10*10;1;1;0.5;PC;1;45;143501;;
BLJ-8805;ACCESORIOS;REJILLA CELDAS RAYO ANTIOLOR NEGRA AC304;129280;202000;181800;161600;102;134;91;327;1400;10*10;1;1;0.5;PC;1;46;143501;;
BLJ-8806;ACCESORIOS;REJILLA CELDAS RAYO ANTIOLOR PLATA AC304;174080;272000;244800;217600;31;22;74;127;1200;10*10;1;1;0.5;PC;1;47;143501;;
BLJ-8833;ACCESORIOS;REJILLA CELDAS ANTIOLORDORADA AC304;122880;192000;172800;153600;139;142;92;373;1300;10*10;1;1;0.5;PC;1;39;143501;;
BLJ-8835;ACCESORIOS;REJILLA CELDAS ANTIOLOR NEGRA AC304;19200;30000;27000;24000;109;19;15;143;900;10*10;1;1;0.5;PC;1;38;143501;;
BLJ-8848;ACCESORIOS;REJILLA INVISIBLE REDONDA NEGRA AC304;22400;35000;31500;28000;89;113;129;331;700;10*10;1;1;0.5;PC;1;56;143501;;
BLJ-8849;ACCESORIOS;REJILLA INVISIBLE REDONDA DORADA AC304;171520;268000;241200;214400;92;36;106;234;1200;10*10;1;1;0.5;PC;1;55;143501;;
BLJ-8850;ACCESORIOS;REJILLA INVISIBLE REDONDA PLATA AC304;34560;54000;48600;43200;97;122;2;221;2000;10*10;1;1;0.5;PC;1;57;143501;;
BLJ-8851;ACCESORIOS;REJILLA INVISIBLE CUADRADA DORADA AC304;32000;50000;45000;40000;6;18;135;159;1300;10*10;1;1;0.5;PC;1;50;143501;;
BLJ-8852;ACCESORIOS;REJILLA INVISIBLE CUADRADA PLATA AC304;44800;70000;63000;56000;95;94;82;271;1200;10*10;1;1;0.5;PC;1;52;143501;;
BLJ-8853;ACCESORIOS;REJILLA INVISIBLE CUADRADA NEGRA AC304;10880;17000;15300;13600;11;15;54;80;1600;10*10;1;1;0.5;PC;1;51;143501;;
BLJ-8866;ACCESORIOS;REJILLA CELDAS BORDE ANTIOLOR PLATA AC304;176640;276000;248400;220800;100;108;71;279;1400;10*10;1;1;0.5;PC;1;41;143501;;
BLJ-8867;ACCESORIOS;REJILLA CELDAS BORDE ANTIOLOR DORADA AC304;127360;199000;179100;159200;59;133;80;272;1000;10*10;1;1;0.5;PC;1;40;143501;;
BLJ-8868;ACCESORIOS;REJILLA CELDASBORDE ANTIOLOR NEGRA AC304;14720;23000;20700;18400;49;125;57;231;500;10*10;1;1;0.5;PC;1;48;143501;;
BLJ-8873;ACCESORIOS;REJILLA CELDAS LINEAL ANTIOLOR DORADA AC304;28160;44000;39600;35200;134;7;91;232;1300;10*10;1;1;0.5;PC;1;42;143501;;
BLJ-8874;ACCESORIOS;REJILLA CELDAS LINEAL ANTIOLOR NEGRA AC304;135040;211000;189900;168800;93;145;96;334;1400;10*10;1;1;0.5;PC;1;43;143501;;
BLJ-8875;ACCESORIOS;REJILLA CELDAS LINEAL ANTIOLOR PLATA AC304;65280;102000;91800;81600;39;125;103;267;1400;10*10;1;1;0.5;PC;1;44;143501;;
BLJ-9001;ACCESORIOS;REJILLA SIFON RECTANGULAR ACERO INOXIDABLE;138880;217000;195300;173600;41;27;133;201;1800;30*10;1;1;0.5;PC;1;58;143501;;
BLJ-9002;ACCESORIOS;REJILLA SIFON RECTANGULAR ACERO INOXIDABLE;169600;265000;238500;212000;58;126;51;235;700;20*10;1;1;0.5;PC;1;59;143501;;
BLJ-9003;ACCESORIOS;REJILLA INVISIBLE RECTANGULAR ACERO INOXIDABLE;179840;281000;252900;224800;17;49;105;171;1400;30*10;1;1;0.5;PC;1;53;143501;;
BLJ-9004;ACCESORIOS;REJILLA INVISIBLE RECTANGULAR ACERO INOXIDABLE;149760;234000;210600;187200;22;109;124;255;1600;20*10;1;1;0.5;PC;1;54;143501;;
BO30451;FACHADA;FACHADA ASUNCION;234600;460000;368000;276000;85;42;84;211;1000;30X45;1.64;46;25.5;CAJA;0;175;143501;;
BO30452;FACHADA;FACHADA LOURDES;634440;1244000;995200;746400;69;55;62;186;1300;30X45;1.64;46;25.5;CAJA;0;178;143501;;
BO30453;FACHADA;FACHADA CANDELARIA ;294780;578000;462400;346800;134;99;90;323;900;30X45;1.64;46;25.5;CAJA;0;176;143501;;
BO30454;FACHADA;FACHADA ROSARIO;543150;1065000;852000;639000;75;57;113;245;1200;30X45;1.64;46;25.5;CAJA;0;179;143501;;
BO30455;FACHADA;FACHADA LA BELLA;223380;438000;350400;262800;51;42;113;206;1500;30X45;1.64;46;25.5;CAJA;0;177;143501;;
BO30456;FACHADA;FACHADA AMPARO;511530;1003000;802400;601800;56;93;66;215;1600;30X45;1.64;46;25.5;CAJA;0;174;143501;;
CBO345;BAÑOS;CBO LAGUNA BLCO SIN PED. CON AS;562530;1103000;882400;661800;10;54;59;123;800;1;1;0;0;CAJA;0;75;143501;;
CD05;BAÑOS;LAVAMANOS POCETA PLAZMA-05 VETA ORO;357510;701000;560800;420600;84;108;122;314;1000;ONE PIECE;1;10;6.5;PC;0;104;143501;;
CD06;BAÑOS;LAVAMANOS POCETA PLAZMA-06 VETA ONIX;211650;415000;332000;249000;56;97;2;155;1800;ONE PIECE;1;10;6.5;PC;0;105;143501;;
CD07;BAÑOS;LAVAMANOS POCETA SWING-01 BLANCO-NEGRO;555900;1090000;872000;654000;129;116;93;338;800;ONE PIECE;1;10;6.5;PC;0;111;143501;;
CD08;BAÑOS;LAVAMANOS POCETA SWING-17 BLANCO-CARRARA;20910;41000;32800;24600;110;107;141;358;1700;ONE PIECE;1;10;6.5;PC;0;112;143501;;
CD09;BAÑOS;LAVAMANOS POCETA POLIO-09 BLANCO;359040;704000;563200;422400;61;100;4;165;700;ONE PIECE;1;10;6.5;PC;0;106;143501;;
CD10;BAÑOS;LAVAMANOS POCETA SPELL-09 BLANCO;641070;1257000;1005600;754200;33;119;22;174;1100;ONE PIECE;1;10;6.5;PC;0;109;143501;;
CE14;PISOS;PORCELANATO NEGRO MEDELLIN;674220;1322000;1057600;793200;123;42;98;263;1800;60X60;1.44;44;25.5;CAJA;4;345;143501;;
CHL6000;PISOS;PORCELANATO SALT-SOLUBLE BEIGE PLANO;519690;1019000;815200;611400;82;10;147;239;1600;60X60;1.44;40;24;CAJA;4;354;143501;;
CPB405W;BAÑOS;LAVAMANOS PEDESTAL FIONA BLANCO;250920;492000;393600;295200;105;76;54;235;700;ONE PIECE;1;5;6.5;PC;0;78;143501;;
CR255636;PARED;PARED PUNE BLANCO GOLD;252450;495000;396000;297000;58;113;48;219;1900;30X60;0.9;96;13;CAJA;5;212;143501;;
CR323666;PARED;PARED MANALI STAR;22440;44000;35200;26400;39;131;17;187;1200;30X60;0.9;96;13;CAJA;5;211;143501;;
CR366858;PARED;PARED KASHEMIR GOLD;401370;787000;629600;472200;125;38;33;196;1500;30X60;0.9;96;13;CAJA;5;210;143501;;
CR643259;PARED;PARED KAMPUR STAR;287130;563000;450400;337800;77;70;53;200;1500;30X60;0.9;96;13;CAJA;5;209;143501;;
CR787523;PARED;PARED BOMBAY STAR;302940;594000;475200;356400;36;79;76;191;500;30X60;0.9;96;13;CAJA;5;208;143501;;
CR799656;PARED;PARED BANGALORE GOLD;289170;567000;453600;340200;107;20;86;213;1100;30X60;0.9;96;13;CAJA;5;207;143501;;
CTB405W;BAÑOS;LAVAMANOS POCETA ALEXA BLANCO;591090;1159000;927200;695400;131;56;70;257;600;ONE PIECE;1;10;6.5;PC;0;79;143501;;
CTB406W;BAÑOS;LAVAMANOS POCETA SPELL BLANCO;204510;401000;320800;240600;127;141;93;361;900;ONE PIECE;1;10;6.5;PC;0;108;143501;;
CTB407W;BAÑOS;LAVAMANOS POCETA SLEEK BLANCO;759900;1490000;1192000;894000;26;31;96;153;600;ONE PIECE;1;10;6.5;PC;0;107;143501;;
CTB408W;BAÑOS;LAVAMANOS POCETA TORIN BLANCO;328440;644000;515200;386400;14;89;64;167;1200;ONE PIECE;1;10;6.5;PC;0;113;143501;;
CTB409W;BAÑOS;LAVAMANOS POCETA MOON BLANCO;649740;1274000;1019200;764400;95;74;52;221;1400;ONE PIECE;1;10;6.5;PC;0;101;143501;;
CTB410W;BAÑOS;LAVAMANOS POCETA SUN BLANCO;695130;1363000;1090400;817800;73;5;106;184;1800;ONE PIECE;1;10;6.5;PC;0;110;143501;;
DHCAV;OTROS;CAPSULAS DE ALMACENAMIENTO ;151040;236000;212400;188800;22;112;21;155;1500;SETX4;1;-;0.235;SET;4;206;143501;;
DHSDA-01;OTROS;DISPENSADOR DE ACEITE EN SPRAY;59520;93000;83700;74400;143;63;51;257;1200;-;1;-;0.265;PC;0;195;143501;;
DLLG36030A;PARED;PARED SALINAS BEIGE;490110;961000;768800;576600;36;57;17;110;1600;30X60;1.62;60;24.5;CAJA;9;233;143501;;
DLYG63012BL;PARED;PARED CALLAO GRIS OSCURO;264180;518000;414400;310800;137;46;18;201;600;30X60;1.62;60;24.5;CAJA;9;228;143501;;
DW36013B;PARED;PARED ICA GRIS;668610;1311000;1048800;786600;88;128;123;339;600;30X60;1.62;60;24.5;CAJA;9;230;143501;;
DW36015;PARED;PARED MORONA TRAVERTINO;398310;781000;624800;468600;6;138;55;199;1300;30X60;1.62;60;24.5;CAJA;9;231;143501;;
DW3608;PARED;PARED ACARI;586500;1150000;920000;690000;68;17;27;112;900;30X60;1.62;60;24.5;CAJA;9;221;143501;;
ET-011;BAÑOS;LAVAMANOS POCETA BLANCA CUADRADA ;582420;1142000;913600;685200;123;31;69;223;1400;36x36;1;10;9;PC;0;83;143501;;
ET-076W;BAÑOS;LAVAMANOS POCETA BLANCA REDONDA ;378420;742000;593600;445200;89;37;132;258;1300;36x36;1;10;9;PC;0;84;143501;;
ET-105GOLD-1;BAÑOS;LAVAMANOS POCETA LUXURY DORADO / BLANCA ARABESCO REDONDA;751230;1473000;1178400;883800;124;62;58;244;1600;46*46;1;10;9;PC;0;95;143501;;
ET-105GOLD-2;BAÑOS;LAVAMANOS POCETA LUXURY BLANCO / ARABESCO LINEA ORO REDONDA ;653820;1282000;1025600;769200;29;86;34;149;1500;46*46;1;10;9;PC;0;93;143501;;
ET-154MS;BAÑOS;LAVAMANOS POCETA LUXURY PLATEADA REDONDA;134640;264000;211200;158400;15;38;104;157;800;36x36;1;10;7;PC;0;97;143501;;
ET-2019;BAÑOS;SANITARIO ECONO BLANCO;731340;1434000;1147200;860400;93;65;80;238;1300;ONE PIECE;1;8;45;PC;0;147;143501;;
ET-2057;BAÑOS;SANITARIO STYLUS BLANCO;589050;1155000;924000;693000;107;147;150;404;1000;ONE PIECE;1;8;50;PC;0;158;143501;;
ET-2057B;BAÑOS;SANITARIO STYLUS NEGRO ;414120;812000;649600;487200;132;39;94;265;700;ONE PIECE;1;8;50;PC;0;164;143501;;
ET-2057F;BAÑOS;SANITARIO STYLUS BLANCO LINEA NEGRA;759900;1490000;1192000;894000;89;41;138;268;1000;ONE PIECE;1;8;50;PC;0;161;143501;;
ET-2057G;BAÑOS;SANITARIO STYLUS BLANCO LINEA ORO ;183090;359000;287200;215400;55;118;142;315;1500;ONE PIECE;1;8;50;PC;0;162;143501;;
ET-2057H;BAÑOS;SANITARIO STYLUS BLANCO LINEA ORO CARRARA;295800;580000;464000;348000;35;64;74;173;1100;ONE PIECE;1;8;50;PC;0;163;143501;;
ET-2057L;BAÑOS;SANITARIO STYLUS BLANCO CARRARA;110670;217000;173600;130200;62;32;115;209;900;ONE PIECE;1;8;50;PC;0;159;143501;;
ET-2057M;BAÑOS;SANITARIO STYLUS NEGRO LINEA PLATA;55080;108000;86400;64800;118;14;136;268;1400;ONE PIECE;1;8;50;PC;0;166;143501;;
ET-2057N;BAÑOS;SANITARIO STYLUS NEGRO LINEA ORO;261630;513000;410400;307800;58;127;36;221;900;ONE PIECE;1;8;50;PC;0;165;143501;;
ET-2057S;BAÑOS;SANITARIO STYLUS BLANCO LINEA PLATA;610980;1198000;958400;718800;47;126;64;237;1800;ONE PIECE;1;8;50;PC;0;160;143501;;
ET-2060;BAÑOS;SANITARIO DELUXE BLANCO;161160;316000;252800;189600;129;135;84;348;1300;ONE PIECE;1;8;56;PC;0;139;143501;;
ET-2060A;BAÑOS;SANITARIO DELUXE NEGRO;551820;1082000;865600;649200;71;77;22;170;1400;ONE PIECE;1;8;56;PC;0;144;143501;;
ET-2060E;BAÑOS;SANITARIO DELUXE NEGRO LINEA ORO;755310;1481000;1184800;888600;121;81;67;269;1900;ONE PIECE;1;8;56;PC;0;146;143501;;
ET-2060F;BAÑOS;SANITARIO DELUXE GRIS LINEA ORO;487050;955000;764000;573000;81;73;22;176;1400;ONE PIECE;1;8;56;PC;0;143;143501;;
ET-2060GG;BAÑOS;SANITARIO DELUXE BLANCO LINEA ORO;623220;1222000;977600;733200;140;87;103;330;1600;ONE PIECE;1;8;56;PC;0;141;143501;;
ET-2060GOLD;BAÑOS;SANITARIO DELUXE DORADO;723690;1419000;1135200;851400;72;38;100;210;1500;ONE PIECE;1;8;56;PC;0;142;143501;;
ET-2060K;BAÑOS;SANITARIO DELUXE BLANCO CARRARA;252450;495000;396000;297000;117;103;69;289;1000;ONE PIECE;1;8;56;PC;0;140;143501;;
ET-2060M;BAÑOS;SANITARIO DELUXE NEGRO CARRARA;318750;625000;500000;375000;18;95;50;163;1500;ONE PIECE;1;8;56;PC;0;145;143501;;
ET-2061;BAÑOS;SANITARIO EVOLA BLANCO;242760;476000;380800;285600;116;70;10;196;1000;ONE PIECE;1;8;54;PC;0;148;143501;;
