id;nombres;apellidos;razonSocial;tipoPersona;tipoIdentificacion;noIdentificacion;dv;contacto;nombreComercial;direccion;ciudad;codigoCiudad;departamento;codigoDepartamento;asesorComercial;telefono1;telefono2;email2;cupoCredito;maximoFacturas;estado;email2;;;;;;;;;;;;
11;JOSE FERNANDO;VOZMEDIANO RENGIFO;JOSE FERNANDO VOZMEDIANO RENGIFO;13 - NATURAL;CC;16759513;;JOSE FERNANDO VOZMEDIANO RENGIFO;-;CL 117#25-85;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3168297444;;;0;1;activo;;;;;;;;;;;;;
12;WILSON DE JESUS;VERA PEREZ;WILSON DE JESUS VERA PEREZ;13 - NATURAL;CC;16765469;1;WILSON/LUCERO;CERAMIC CENTER;CL 15 12 91;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3107918723;;ceramicenterfelectronica@gmail.com;0;1;activo;;;;;;;;;;;;;
13;JHON STEILER;RESTREPO ROBLEDO;JHON STEILER RESTREPO ROBLEDO;13 - NATURAL;CC;16846810;9;JHON STEILER RESTREPO ROBLEDO;-;CL 15 11 17;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3136974423;;johnsteiler@hotmail.com;0;1;activo;;;;;;;;;;;;;
14;MARIA BERNANRDA;CASTAÑO CHICA;MARIA BERNANRDA CASTAÑO CHICA;13 - NATURAL;CC;31282743;6;MARIA BERNARDA CASTAÑO CHICA;SOMOS REPUESTOS;CR 15 9B 02;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;6023741812;3176480416;factelectonica.somosrepuestos@gmail.com;0;1;activo;;;;;;;;;;;;;
15;MARIA ESMERALDA;ALBA CANAVAL;MARIA ESMERALDA ALBA CANAVAL;13 - NATURAL;CC;31898738;3;ESMERALDA;-;CR 106 12 B 164CA 08 UR JOCKEY CLUB II;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3113245983;;mariae-alba@hotmail.com;0;1;activo;;;;;;;;;;;;;
16;MIREYA VALENCIA;GUTIERREZ ;MIREYA VALENCIA GUTIERREZ;13 - NATURAL;CC;34660117;8;MIREYA VALENCIA ;CENTRO CERAMICAS ;CL 15 # 12-85;CALI;76001;VALLE DEL CAUCA;76;CIELO ALDANA VILLAMIZAR;3117182901;;mireyavalenciagutierrez@gmail.com;0;1;activo;;;;;;;;;;;;;
17;SYLVIA LORENA;ROJAS FIQUEROA;SYLVIA LORENA ROJAS FIQUEROA;13 - NATURAL;CC;38644410;9;DARIO;LA MORZA;CR 10 17 19;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3183114835;;syloro3112@hotmail.com;0;1;activo;;;;;;;;;;;;;
18;OMAIRA MUÑOZ;PULGARIN ;OMAIRA MUÑOZ PULGARIN;13 - NATURAL;CC;42020062;5;OMAIRA MUÑOZ PULGARIN;CENTRO CERAMICAS CALI;CR 1 D 1    52 141;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3123813291;;centroceramicascali@gmail.com;0;1;activo;;;;;;;;;;;;;
19;MARIA DEL CARMEN;ARAMBURO CRUZ;MARIA DEL CARMEN ARAMBURO CRUZ;13 - NATURAL;CC;66815269;;ALEX MONTACARGA;MARIA DEL CARMEN ARAMBURO CRUZ;CRA 1A 7BIS 73A 59;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3054174587;;na@gmail.com;0;1;activo;;;;;;;;;;;;;
20;ADRIANA GONZALEZ;RODRIGUEZ ;ADRIANA  GONZALEZ RODRIGUEZ;13 - NATURAL;CC;66838085;3;ADRIANA RODRIGUEZ;EL MUNDO DE LOS ACABADOS;CL 15  10 31;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3176473279;;gerasesorias@gmail.com;0;1;activo;;;;;;;;;;;;;
21;RUBEN DARIO;QUINTERO LARA;RUBEN DARIO QUINTERO LARA;13 - NATURAL;CC;94394694;3;SANDRA BERNAL;-;CL 4 40 N 157;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;4180808;3155568191;rquintero@recamier.com;0;1;activo;;;;;;;;;;;;;
22;HAROLD MAURICIO;GALVIS ;HAROLD MAURICIO GALVIS;13 - NATURAL;CC;94486456;2;HAROLD MAURICIO GALVIS;-;CRA  24 B 4 72 D 35;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3207796919;3148642024;galvisharold095@gmail.com;0;1;activo;;;;;;;;;;;;;
23;ANDRES FELIPE;CALAPSU MEDINA;ANDRES FELIPE CALAPSU MEDINA;13 - NATURAL;CC;1107054320;3;ERIKA  VARGAS;ACABADOS MODERNOS;CL 15 21  42;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3104639147;3128801138;marianacalapsu@gmail.com;0;1;activo;;;;;;;;;;;;;
24;NELSON ENRIQUE;MORENO MONCALEANO;NELSON ENRIQUE MORENO MONCALEANO;13 - NATURAL;CC;1112472067;5;NELSON ENRIQUE MORENO MONCALEANO;DISTRICONS KA-SA;CL 81 7D BIS 34 BRR ALFONSO LOPEZ 1;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3158119506;;nelson.g12@hotmail.com;0;1;activo;;;;;;;;;;;;;
25;JHON JAIRO;OSORIO TORRES;JHON JAIRO OSORIO TORRES;13 - NATURAL;CC;1113310758;5;JOHN JAIRO;0;CL 70 9 29;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3015971155;;jhonosorio115@gmail.com;0;1;activo;;;;;;;;;;;;;
26;JOHN EDINSON;AGUDELO JARAMILLO;JOHN EDINSON AGUDELO JARAMILLO;13 - NATURAL;CC;1116733981;8;JOHN EDINSON;MATERIALES JARAMILLO;CR 8 71 17;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3208293694;;alci-0820@hotmail.com;0;1;activo;;;;;;;;;;;;;
27;ANDRES FELIPE;TRUJILLO SALAZAR;ANDRES FELIPE TRUJILLO SALAZAR;13 - NATURAL;CC;1130593074;1;ANDRES ;ANDRES;CL 48 28 G 66;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3046321408;4452242;feloandres12@hotmail.es;0;1;activo;;;;;;;;;;;;;
28;LUIS CARLOS;BETANCOURTH TORRES;LUIS CARLOS BETANCOURTH TORRES;13 - NATURAL;CC;1130668882;1;LUIS CARLOS BETANCOURTH TORRES;SERVI HOME MANTENIMIENTO Y RESTAURACION;CL 53 98 91 AP 903 TO 3;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3156705738;;servihomecali@gmail.com;0;1;activo;;;;;;;;;;;;;
29;NICOLAS MEDINA;SALGADO ;NICOLAS MEDINA SALGADO;13 - NATURAL;CC;1143879503;6;NICOLAS MEDINA;-;CR 9 70 09;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3153427274;3187019530;nmedinas.empresarial@gmailcom;0;1;activo;;;;;;;;;;;;;
30;KATERIN JOANA;MANCILLA SANCHEZ;KATERIN JOANA MANCILLA SANCHEZ;13 - NATURAL;CC;1143949199;0;FAUNER;JF FERRETERIA;CL 16 11 64 BRR SUCRE;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;317636411;;kjmancilla92@gmail.com;0;1;activo;;;;;;;;;;;;;
31;NERLLY TATIANA;COQUEZ RENDON;NERLLY TATIANA COQUEZ RENDON;13 - NATURAL;CC;1144098244;5;NERLLY TATIANA;-;CL 19 # 36 B 22;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3862312;3188038227;tatianacoquez@hotmail.com;0;1;activo;;;;;;;;;;;;;
32;YULLY MARCELA;MARTINEZ PEÑALOZA;YULLY MARCELA MARTINEZ PEÑALOZA;13 - NATURAL;CC;1144195670;5;CARLOS ANDRES MUÑOZ FLORES;DECOR PROYECTOS;CL 10 40A 78 LC;CALI;76001;VALLE DEL CAUCA;76;CIELO  VILLAMIZAR;3226530852;;marcela.martinez.96@hotmail.com;0;1;activo;;;;;;;;;;;;;
33;JUAN DAVID;CALDERON ;JUAN DAVID CALDERON;13 - NATURAL;CC;1151938089;;JUAN DAVID CALDERON;-;CR 28 D1 #72 V31;CALI;76001;VALLE DEL CAUCA;76;CIELO ALDANA VILLAMIZAR;3057623530;;;0;1;activo;;;;;;;;;;;;;
34;PAOLA ANDREA;ORTIZ CHATE;PAOLA ANDREA ORTIZ CHATE;13 - NATURAL;CC;1151946154;5;PAOLA ANDREA ORTIZ CHATE;INTERECERAMICAS PAZ;CL 15 11 83;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3108289098;;paolaortiz425@gmail.com;0;1;activo;;;;;;;;;;;;;
35;DIEGO BARCO;GARCIA ;DIEGO BARCO GARCIA;13 - NATURAL;CC;1234191739;;DIEGO BARCO GARCIA;-;CALLE 15 53  125;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3188216764;;diegojans97@hotmail.com;0;1;activo;;;;;;;;;;;;;
36;ALVARO MOTTA;ARTUNDUAGA ;ALVARO MOTTA ARTUNDUAGA;13 - NATURAL;CC;4948472;7;ALVARO MOTA ;PISOS Y ACABADOS DE COLOMBIA  ( HEIBER O NELLY);CL 15 # 11-49;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3122654386;8831247;alvaromotta223@gmail.com;0;1;activo;;;;;;;;;;;;;
37;HENRY ALONSO;ZAPATA ;HENRY ALONSO ZAPATA;13 - NATURAL;CC;6429687;4;VICTOR;ACABADOS MULTICERAMICA( LOS PILLOS);CR 9 73 88;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3162905727;;henry.zapata23@hotmail.com;0;1;activo;;;;;;;;;;;;;
38;OSCAR MAURICIO;CORRALES BUITRAGO;OSCAR MAURICIO CORRALES BUITRAGO;13 - NATURAL;CC;9915304;4;OSCAR MAURICIO CORRALES BUITRAGO;-;AV 32 OESTE 11 85;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3153879759;;yuliceb@hotmail.com;0;1;activo;;;;;;;;;;;;;
39;JHON JAIRO;CAICEDO MURILLO;JHON JAIRO CAICEDO MURILLO;13 - NATURAL;CC;11636835;3;JHON JAIRO CAICEDO MURILLO ;CERAMICAS Y ACABADOS MYM;DG 23#29B 64 COLSEGUROS ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;4225859;3164815226;jhonjcm1975@hotmail.com;0;1;activo;;;;;;;;;;;;;
40;JULIO CESAR;PAZ RODRIGUEZ;JULIO CESAR PAZ RODRIGUEZ;13 - NATURAL;CC;14637995;9;JULIO CESAR PAZ RODRIGUEZ;INTERCERAMICAS PAZ GUAYAQUIL ;CL 15 21 42;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3183038424;;jucepaz24@hotmail.com;0;1;activo;;;;;;;;;;;;;
41;FABIO NELSON;RODRIGUEZ SINISTERRA;FABIO NELSON RODRIGUEZ SINISTERRA;13 - NATURAL;CC;14652107;8;OSITO;LUJO CERAMICAS;CR 9 73 47 P 1;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3178937548;6022615772;fabionelson_82@hotmail.com;0;1;activo;;;;;;;;;;;;;
42;MARIA RAQUEL;PAZ SANCHEZ;MARIA RAQUEL PAZ SANCHEZ;13 - NATURAL;CC;14675752;8;MARIA RAQUEL -LUIS ;CERAMIX;CRA 26  A 1 73 A 63 B. ALIRIO MORA BELTRAN ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3172505475;6024224353;luispaz832011@hotmail.com;0;1;activo;;;;;;;;;;;;;
43;JOHN JAIVER;MONCAYO OME;JOHN JAIVER MONCAYO OME;13 - NATURAL;CC;16460049;1;JOHN JAIVER MONCAYO OME;FORRO DE UJOS LA 13;CL  13 17 15 B. GUAYAQUIL ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3057494999;6024030106;jhonsivem@gmail.com;0;1;activo;;;;;;;;;;;;;
44;CESAR ALEJANDRO;CAMARGO GOMEZ;CESAR ALEJANDRO CAMARGO GOMEZ;13 - NATURAL;CC;16463075;7;CESAR ALEJANDRO CAMARGO GOMEZ;-;CR 8 13 100 LC E Z 44 EZ 47;CALI;76001;VALLE DEL CAUCA;76;DOMESTIKO SAS FIBRA;3185780782;;cesarpeluches@hotmail.com;0;1;activo;;;;;;;;;;;;;
45;HEBERT HURTADO;MUÑOZ ;HEBERT HURTADO MUÑOZ ;13 - NATURAL;CC;16618074;7;JOHANA HURTADO;FERRETERIA FOREVER;CRA 8 72B 41 B. ALFONZO LOPEZ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3187130491;;facturacionferreforever@hotmail.com;0;1;activo;;;;;;;;;;;;;
46;; ;CERAMICAS JEFF;13 - NATURAL;CC;16711221;0;HENRY GOMEZ/ OTONIEL ;CERAMICAS JEFF;CL 15 11 05;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3041158269;8940156;hengomelmejor@gmail.com;0;1;activo;;;;;;;;;;;;;
47;ARLES GUTIERREZ;TORRES ;ARLES GUTIERREZ TORRES;13 - NATURAL;CC;16773230;2;ARLES GUTIERREZ TORRES;GOOD S CENTER ;CR 8 72 B71 B. ALFONSO LOPEZ ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3186066668;;goodscenter1@gmail.com;0;1;activo;;;;;;;;;;;;;
48;LUIS JAIRO;BENAVIDES DELGADO;LUIS JAIRO BENAVIDES DELGADO ;13 - NATURAL;CC;16778722;7;19205921;ALMACEN OPEN DE MARKET;CL 15 12 49;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3194437326;6028802247;almacenopenmarket@gmail.com;0;1;activo;;;;;;;;;;;;;
49;OSWALDO MONTES;BARONA ;OSWALDO MONTES BARONA;13 - NATURAL;CC;16829698;;OSWALDO MONTES ;OBRA BLANCA;CL 15 #13-35;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3105368674;;montesoswaldo4@gmail.com;0;1;activo;;;;;;;;;;;;;
50;HARLING POTES;LOZANO ;HARLING POTES LOZANO;13 - NATURAL;CC;16919547;0;HARLING POTES LOZANO;TU HOGAR;CRA 26 M6 121 45;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3116725402;;harling24@gmail.com;0;1;activo;;;;;;;;;;;;;
51;VICTOR ELVER;GARCIA LOPEZ;VICTOR ELVER GARCIA LOPEZ;13 - NATURAL;CC;16932257;3;VICTOR ELVER GARCIA LOPEZ;MOMPOX DISEÑO E INNOVACION;CRA4AN 72 B 49 B. GUADUALES;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3225136263;;16932257@recepcionde facturas.co;0;1;activo;;;;;;;;;;;;;
52;LUIS FERNANDO;VARELA ZUÑIGA;LUIS FERNANDO VARELA ZUÑIGA;13 - NATURAL;CC;16939315;4;LUIS FERNANDO VARELA ZUÑIGA ;MEGACERAMICAS LA 15;CL 15 11 99 B.SUCRE;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3156294006;3105083335;nandovz10@hotmail.com;0;1;activo;;;;;;;;;;;;;
53;SONIA ESCOBAR;GOMEZ ;SONIA ESCOBAR GOMEZ;13 - NATURAL;CC;29433295;1;KAREN MILLAN/ DEISY / TATIANA ;CERAMICAS Y PISOS LA 15;CL 26 83 C 40;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;;;karen-1125@hotmail.com;0;1;activo;;;;;;;;;;;;;
54;CONSUELO SALGADO;MONTOYA ;CONSUELO SALGADO MONTOYA;13 - NATURAL;CC;31953979;7;CONSUELO SALGADO MONTOYA;ONCERAMIC;MONTEBELLO;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3127318054;;consalmo02@hotmail.com;0;1;activo;;;;;;;;;;;;;
55;OLIVIA DEL SOCORRO;GONZALEZ MUÑOS;OLIVIA DEL SOCORRO GONZALEZ MUÑOS ;13 - NATURAL;CC;32543279;4;JAMES;CERAMICAS Y ENCHAPES;CRA 8 70 82 ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;;;ogonzalezmunoz@yahoo.com;0;1;activo;;;;;;;;;;;;;
56;FRANCY GISELA;LUCIO SALAZAR;FRANCY GISELA LUCIO SALAZAR;13 - NATURAL;CC;38562092;7;FRANCY GISELA LUCIO SALAZAR;CONSTRUCENTRO LA 15;CR15 11 111 LC ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3175850148;;aurisalazar1@hotmail.com;0;1;activo;;;;;;;;;;;;;
57;GLORIA STELLA;GAVIRIA SALAMANCA;GLORIA STELLA GAVIRIA SALAMANCA;13 - NATURAL;CC;43512176;1;0;GLOBAL HARDWARE;CL 11 1 07 ED JORGE GARCEZ BORRERO OF 509;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;4101726;3207333382;gloriagav@hotmail.com;0;1;activo;;;;;;;;;;;;;
58;DIANA MILENA;RESTREPO SALAZAR;DIANA MILENA RESTREPO SALAZAR;13 - NATURAL;CC;66928292;;DIANA MILENA RESTREPO SALAZAR;FERROCERAMICAS RESTREPO ;CR 47 40 73;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3128844710;3065999;dmilenar123@gmail.com;0;1;activo;;;;;;;;;;;;;
59;MARILUZ GIRALDO;MEJIA ;MARILUZ GIRALDO MEJIA ;13 - NATURAL;CC;66966368;0;MARILUZ GIRALDO MEJIA ;-;CL 106 33-66;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3103818505;;homedekor2023@gmail.com;0;1;activo;;;;;;;;;;;;;
60;ROSE MELY;ACEVEDO MONTILLA;ROSE MELY ACEVEDO MONTILLA ;13 - NATURAL;CC;67021110;6;ROSE MELY ACEVEDO MONTILLA ;CERAMICAS Y ACABADOS 1A;CRA 27 91 72 B. BONILLA ARAGON;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3163533517;4221294;rochi.acemo@hotmail.com;0;1;activo;;;;;;;;;;;;;
61;KAREN MARYERI;UREÑA ;KAREN MARYERI UREÑA;13 - NATURAL;CC;67032728;4;KAREN MARYERI MANCHOLA URUEÑA;UNIVERSAL DE CERAMICAS Y ACABADOS UNO;CR 5 21 17;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3105081946;;uceramicaacabados1@gmail.com;0;1;activo;;;;;;;;;;;;;
62;OSCAR ALIRIO;GIRALDO SALAZAR;OSCAR ALIRIO GIRALDO SALAZAR;13 - NATURAL;CC;72014814;1;OSCAR ALIRIO GIRALDO SALAZAR;VARIEDADES YAJAIRA;CRA 9 13 A 40 LC 210-211 CC EL FUTURO ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3156981138;;variedadesyajaira@gmail.com;0;1;activo;;;;;;;;;;;;;
63;ARBEY VANEGAS;BARRERA ;ARBEY VANEGAS BARRERA;13 - NATURAL;CC;79395042;1;ARBEY VANEGAS BARRERA;SURTICERAMICAS LA 15;CL 15 12 09 12 43;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;8831610;8899228;surti.ceramicas.la10@hotmail.com;0;1;activo;;;;;;;;;;;;;
64;DIEGO LUIS;PINILLA VILLAFAÑE;SURTICERAMICAS LA OCTAVA ;13 - NATURAL;CC;79456717;7;DIEGO LUIS PINILLA VILLAFAÑE;SURTICERAMICAS LA OCTAVA ;CRA 8 72 62;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3232905895;;surticeramicas@sanplaza.com.co;0;1;activo;;;;;;;;;;;;;
65;ELIECER ;BERNAL ;ELIECER BERNAL ;13 - NATURAL;CC;94255458;6;ELIECER BERNAL ;ACABADOS DISTRILOPEZ;CR 8 72 B 47 B. ALFONZO;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3165284660/662379;;acabadosdistrilopez@outlook.com;0;1;activo;;;;;;;;;;;;;
66;RONALD GERMAN;CAMACHO ROJAS;RONALD GERMAN CAMACHO ROJAS ;13 - NATURAL;CC;94257542;6;RONALD GERMAN CAMACHO ROJAS ; EL PALACIO DE LA CERAMICA;CRA 8  72 B 04;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3168344778;;ron5co@hotmail.com;0;1;activo;;;;;;;;;;;;;
67;LUIS ALIRIO;SAMBONI MUNOZ;LUIS ALIRIO SAMBONI MUNOZ;13 - NATURAL;CC;94283826;2;LUIS ALIRIO SAMBONI MUNOZ;FERROCERAMICAS MUÑOZ;CL 15 10 53 B. SUCRE ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3117029973;8894157;luisalirio1901@icloud.com;0;1;activo;;;;;;;;;;;;;
68;RUBEN DARIO;PEREZ CRESPO;RUBEN DARIO PEREZ CRESPO;13 - NATURAL;CC;94326260;0;RUBE DARIO PEREZ CRESPO;ALMACEN DECORAR JR;CRA 8 74 44 B. ALFONOZO LOPEZ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3194257040;;almacendecorarjr@gmail.com;0;1;activo;;;;;;;;;;;;;
69;DIEGO ALEXANDER;POSÚ SANDOVAL;DIEGO ALEXANDER POSÚ SANDOVAL;13 - NATURAL;CC;94403401;;0;-;CRA 41 B 46 57;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3178134053;;posusandoval@gmail.com;0;1;activo;;;;;;;;;;;;;
70;MILTON ALEXANDER;SAAVEDRA PEREZ;MILTON ALEXANDER SAAVEDRA PEREZ;13 - NATURAL;CC;94405696;7;YUDI ;MACROCERAMICA;CR 8 # 74-05 BRR ALFONSO LOPEZ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3168886621;6025130262;acabadosmacro@hotmail.com;0;1;activo;;;;;;;;;;;;;
71;LUIS EDUARDO;RAMOS SAA;LUIS EDUARDO RAMOS SAA;13 - NATURAL;CC;94419987;6;LUIS EDUARDO RAMOS SAA;ENCHAPE Y PREFABRICADOS LA 23;CL 15 23 67 B. ARANJUEZ;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3184614232;3136166340;eduarams76@outlook.com;0;1;activo;;;;;;;;;;;;;
72;ALEXANDER MONTEALEGRE;OTERO ;ALEXANDER MONTEALEGRE OTERO;13 - NATURAL;CC;94433166;4;RAFAEL/ MARIA FERNANDA;CERAMICA CIELO AZUL;CL15 23 99 LC 01;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3207955874;;montes1142@hotmail.com;0;1;activo;;;;;;;;;;;;;
73;JOSE OLIVER;GUAMANGA QUINTERO;JOSE OLIVER GUAMANGA QUINTERO;13 - NATURAL;CC;94523698;7;JOSE OLIVER-GUAMANGA  ;FERRETERIA CERAMICA EL PROGRESO;CL 15 # 10-67 BRR CENTRO;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3108353906;;diverguamanga12@hotmail.com;0;1;activo;;;;;;;;;;;;;
74;JUAN CARLOS;SERNA ALVAREZ;JUAN CARLOS SERNA ALVAREZ;13 - NATURAL;CC;94543215;9;JUAN CARLOS SERNA/ JULIET SERNA ;CENTRAL DE ENCHAPES;CR 8 72 84;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;6565566;3165284543;juancarlosserna23@gmail.com;0;1;activo;;;;;;;;;;;;;
75;HARRISON SIERRA;CARMONA ;HARRISON SIERRA CARMONA;13 - NATURAL;NIT;700074851;8;HARRISON SIERRA ;ALMACEN CIPRO  ( MARISOL );CL 70 #8-95;CALI;76001;VALLE DEL CAUCA;76;BLADIMIR DIAZ;3156600678;3051041;harry1143@hotmail.com;0;1;activo;;;;;;;;;;;;;
76;JUAN DAVID;SUAREZ CORDOBA;JUAN DAVID SUAREZ CORDOBA;13 - NATURAL;CC;1006016703;2;JORGE SUAREZ;ACABADOS CON ESTILO ;CLL 22 5 16 LOCAL 3 SAN NICOLAS ;CALI;76001;VALLE DEL CAUCA;76;CIELO VILLAMIZAR;3122012597;;asacabadosconestilo@gmail.com;0;1;activo;;;;;;;;;;;;;
