codigo,nombre,tipo,unidad,presentacion,categoria,linea,iva,precio_base,precio_venta_2,precio_venta_3,costo,activo,unspsc,ean,peso,cajas_en_pallet,und_empaque,peso_x_und_empaque,descripcion
AN-814,CONTROL/TECLADO MULTIFUNCIONAL NIA REF:AN-814 RGB,BIEN,UND,Caja x 12,Hogar,NIA,19,19000,18000,,11400,Si,,01619,0,0,0,0,
AN-817,MAQUINA PELUQUERA NIA REF.AN-817,BIEN,UND,Caja x 12,Belleza,NIA,19,48000,46000,,28800,Si,,02297,0,0,0,0,
AN-833,AUDIFONO NIA REF:AN-833 CON SALIDA TIPO C,BIEN,UND,Caja x 12,Audifonos,NIA,19,6000,5800,,3600,Si,,01623,0,0,0,0,
AN-8932,CABINA NIA REF:AN-8932 DE 6.5'',BIEN,UND,Caja x 12,Sonido,NIA,19,510000,500000,,306000,Si,,02357,0,0,0,0,
BST-3110,TRIPODE REF.BST-3110,BIEN,UND,Caja x 12,Hogar,NIA,19,31000,30000,,18600,Si,,00656,0,0,0,0,
C1,RADIO BAOOFEN RECARGABLE REF: C1,BIEN,UND,Caja x 12,Sonido,NIA,19,95000,0,,57000,Si,,02036,0,0,0,0,
CC003-M,SOPORTE DE CARRO PARA CELULAR NIA REF:CC003-M,BIEN,UND,Caja x 12,Accesorios,NIA,19,7200,0,,4320,Si,,00755,0,0,0,0,
DL-300ZT,TERMO STANLY COMBO,BIEN,UND,Caja x 12,Hogar,NIA,19,66000,64000,,39600,Si,,01571,0,0,0,0,
GD-1425,CABINA GEDI REF:GD-1425 DE 2X10'',BIEN,UND,Caja x 12,Sonido,NIA,19,1050000,1050000,,630000,Si,,02356,0,0,0,0,
GD-2137,CABINA GEDI REF.GD-2137,BIEN,UND,Caja x 12,Sonido,NIA,19,365000,355000,,219000,Si,,02324,0,0,0,0,
GD-2823,CABINA GEDI REF.GD-2823,BIEN,UND,Caja x 12,sonido,NIA,19,265000,2060000,,159000,Si,,02332,0,0,0,0,
GD-3127,CABINA GEDI REF.GD-3127,BIEN,UND,Caja x 12,Sonido,NIA,19,1050000,950000,,630000,Si,,02322,0,0,0,0,
GTS-1480,RADIO KTF REF:KTF-1480,BIEN,UND,Caja x 12,Sonido,NIA,19,30000,29000,,18000,Si,,01785,0,0,0,0,
GTS-2097,PARLANTE BTS REF:GTS-2097,BIEN,UND,Caja x 12,Sonido,NIA,19,10000,9500,,6000,Si,,01962,0,0,0,0,
GTS-2116,PARLANTE BTS REF:GTS-2116,BIEN,UND,Caja x 12,Sonido,NIA,19,12000,11000,,7200,Si,,01939,0,0,0,0,
GTS-2149,PARLANTE BTS REF:GTS-2149,BIEN,UND,Caja x 12,Sonido,NIA,19,22000,21000,,13200,Si,,01960,0,0,0,0,
HJ-1,VENTILADOR REF:HJ-1,BIEN,UND,Caja x 12,Ventiladores,NIA,19,23000,22000,,13800,Si,,01573,0,0,0,0,
HS-T017,SOPORTE PARA BICICLETA REF:HS-T017,BIEN,UND,Caja x 12,Soportes,NIA,19,16000,15000,,9600,Si,,00600,0,0,0,0,
KTS-1623,PARLANTE KTS REF: KTS-1623,BIEN,UND,Caja x 12,Sonido,NIA,19,78000,77000,,46800,Si,,01884,0,0,0,0,
KTS-1680,PARLANTE GTS REF:GTS-1680,BIEN,UND,Caja x 12,Sonido,NIA,19,17000,16000,,10200,Si,,01867,0,0,0,0,
KTX-1411,PARLANTE KTS REF: KTS-1411,BIEN,UND,Caja x 12,Sonido,NIA,19,16000,15000,,9600,Si,,01043,0,0,0,0,
MSD16KISAAA,MICRO SD 16G KINGSTON AAA REF.MSD16KISAAA,BIEN,UND,Caja x 12,Accesorios,NIA,19,11500,0,,6900,Si,,00118,0,0,0,0,
MSD16KISORI,MICRO SD 16G KINGSTON ORIGINAL REF.MSD16KISORI,BIEN,UND,Caja x 12,Accesorios,NIA,19,11500,0,,6900,Si,,00112,0,0,0,0,
ONN,ONN TIPO ORIGINAL,BIEN,UND,Caja x 12,Hogar,NIA,19,77000,70000,,46200,Si,,02076,0,0,0,0,
ONN4KTV,ONN 4K TV BOX,BIEN,UND,Caja x 12,Accesorios,NIA,19,80000,75000,,48000,Si,,01970,0,0,0,0,
ONNCH,ONN CHINO,BIEN,UND,Caja x 12,Accesorios,NIA,19,75000,70000,,45000,Si,,01655,0,0,0,0,
ONNORIGINAL,ONN ORIGINAL,BIEN,UND,Caja x 12,Hogar,NIA,19,115000,110000,,69000,Si,,01152,0,0,0,0,
PC2000,PILA PARA CABINA 2000MAH,BIEN,UND,Caja x 12,Audifonos,NIA,19,7500,7000,,4500,Si,,00640,0,0,0,0,
POPIES,JUEGO POPIES REF:POPIES DISNEY,BIEN,UND,Caja x 12,Temporada,NIA,19,16000,15500,,9600,Si,,02313,0,0,0,0,
PRO1852,PLANCHA PARA CABELLO PRONOVA REF: PRO 1852,BIEN,UND,Caja x 12,Belleza,NIA,19,21000,20000,,12600,Si,,02172,0,0,0,0,
PRO2516,COMBO PLANCHA SECADOR DE CABELLO REF: PRO 2516,BIEN,UND,Caja x 12,Belleza,NIA,19,55000,54000,,33000,Si,,02165,0,0,0,0,
REDMIBUDS4ACTIVE,AUDIFONO REF:REDMI BUDS 4 ACTIVE,BIEN,UND,Caja x 12,Audifonos,NIA,19,77000,75000,,46200,Si,,01533,0,0,0,0,
RW104P,CAMARA WIFI HD TIPO BOMBILLO REF:RW104P,BIEN,UND,Caja x 12,Accesorios,NIA,19,35000,33000,,21000,Si,,00856,0,0,0,0,
S19,OLLA FREIDORA OICE DE 8 LTS REF:S19,BIEN,UND,Caja x 12,hogar,NIA,19,150000,140000,,90000,Si,,02333,0,0,0,0,
TCAIPHONE1MTR,CABLE TIPO C A IPHONE REF:TC A IPHONE 1 METRO,BIEN,UND,Caja x 12,accesorios,NIA,19,3800,3600,,2280,Si,,02341,0,0,0,0,
TV40iffalcon,TELEVISOR IFFALCON DE 40'' REF:IFFALCON 40,BIEN,UND,Caja x 12,hogar,NIA,19,670000,660000,,402000,Si,,02329,0,0,0,0,
USB16KISMTA,USB 16G METALICA KINGSTON AAA REF.USB16KISMTA,BIEN,UND,Caja x 12,Accesorios,NIA,19,11500,0,,6900,Si,,00115,0,0,0,0,
WACHT7,RELOJ SMAR WATCH REF:WACHT 7,BIEN,UND,Caja x 12,Audifonos,NIA,19,33000,0,,19800,Si,,01881,0,0,0,0,
YH16,FABRICADORA DE HIELO REF.YH16,BIEN,UND,Caja x 12,Hogar,NIA,19,240000,230000,,144000,Si,,02097,,,,,
